date,team,player,position,injury
10/30/13,Los AngelesClippers,Glen Davis,F/C,Sore foot
10/30/13,CharlotteBobcats,Luke Ridnour,G,Sore back
10/30/13,New OrleansPelicans,Ryan Anderson,F/C,Chip fracture in right toe
10/30/13,OrlandoMagic,Tobias Harris,F,Left ankle sprain
10/28/13,UtahJazz,Andris Biedrins,C,Sore ankle
10/28/13,Los AngelesClippers,Danny Granger,SF,Strained left calf
10/28/13,MiamiHeat,Greg Oden,C,Sore knee
10/28/13,AtlantaHawks,Lou Williams,G,Torn right knee ligament
10/28/13,BostonCeltics,Rajon Rondo,PG,Torn right ACL
10/28/13,DenverNuggets,Wilson Chandler,G/F,Pulled hamstring
10/26/13,ChicagoBulls,Tornike Shengelia,F,Sore knee
10/26/13,New OrleansPelicans,Tyshawn Taylor,PG,Sprained ankle
10/25/13,Philadelphia76ers,Arnett Moultrie,PF,Sore ankle
10/25/13,CharlotteBobcats,Brendan Haywood,C,Sore foot
10/25/13,MilwaukeeBucks,Carlos Delfino,G/F,Sore foot
10/25/13,ClevelandCavaliers,Carrick Felix,G/F,Pulled groin
10/25/13,WashingtonWizards,Chris Singleton,SF,Sprained left foot
10/25/13,DenverNuggets,Danilo Gallinari,SF,Sore knee
10/25/13,AtlantaHawks,Gustavo Ayon,F/C,Rotator cuff
10/25/13,Los AngelesLakers,Kobe Bryant,G,Left achilles
10/20/13,WashingtonWizards,Otto Porter Jr.,SF,Sore hip
10/16/13,PortlandTrail Blazers,C.J. McCollum,G,Fractured left foot
10/16/13,Los AngelesClippers,Maalik Wayns,G,Knee surgery
10/14/13,SacramentoKings,Carl Landry,F,Torn left hip flexor
10/14/13,UtahJazz,Trey Burke,PG,Finger surgery
10/9/13,DallasMavericks,Brandan Wright,F/C,Sore shoulder
10/8/13,MinnesotaTimberwolves,Chase Budinger,G/F,Knee surgery
10/3/13,New OrleansPelicans,Darius Miller,G/F,Fractured foot
10/1/13,PhoenixSuns,Emeka Okafor,C,Strained neck
10/1/13,Golden StateWarriors,Festus Ezeli,C,Knee surgery
10/1/13,Philadelphia76ers,Jason Richardson,G/F,Knee surgery
10/1/13,Philadelphia76ers,Nerlens Noel,F/C,Knee surgery
11/29/13,MemphisGrizzlies,Courtney Lee,G/F,Sore left knee
11/29/13,Los AngelesClippers,J.J. Redick,SG,Fractured right hand
11/29/13,HoustonRockets,Jeremy Lin,G,Sprained right knee
11/29/13,AtlantaHawks,Kyle Korver,G/F,Rib contusion
11/29/13,CharlotteBobcats,Michael Kidd-Gilchrist,SF,Right foot
